Leimacomys buettneri
Steatomys caurinus
Steatomys cuppedius
Steatomys jacksoni
Steatomys krebsii
Steatomys parvus
Steatomys pratensis
Lophiomys imhausi
Malacothrix typica
Megadendromus nikolausi
Myospalax aspalax
Myospalax epsilanus
Myospalax fontanierii
Myospalax myospalax
Myospalax psilurus
Myospalax rothschildi
Myospalax smithii
Mystromys albicaudatus
Nannospalax ehrenbergi
Nannospalax leucodon
Nannospalax nehringi
Spalax arenarius
Spalax giganteus
Spalax graecus
Spalax microphthalmus
Spalax zemni
Platacanthomys lasiurus
Typhlomys chapensis
Typhlomys cinereus
Prionomys batesi
Castor canadensis
Castor fiber
Perognathus alticola
Perognathus amplus
Perognathus fasciatus
Perognathus flavescens
Perognathus flavus
Perognathus inornatus
Perognathus longimembris
Perognathus merriami
Perognathus parvus
Perognathus xanthanotus
Chaetodipus formosus
Chaetodipus arenarius
Chaetodipus penicillatus
Chaetodipus intermedius
Chaetodipus nelsoni
Chaetodipus lineatus
Chaetodipus goldmani
Chaetodipus artus
Chaetodipus pernix
Chaetodipus spinatus
Chaetodipus fallax
Chaetodipus californicus
Chaetodipus baileyi
Chaetodipus hispidus
Dipodomys ordii
Dipodomys gravipes
Dipodomys ingens
Dipodomys compactus
Dipodomys panamintinus
Dipodomys heermanni
Dipodomys stephensi
Dipodomys venustus
Dipodomys elephantinus
Dipodomys agilis
Dipodomys microps
Dipodomys elator
Dipodomys phillipsii
Dipodomys californicus
Dipodomys merriami
Dipodomys nitratoides
Dipodomys insularis
Dipodomys deserti
Dipodomys spectabilis
Dipodomys nelsoni
Microdipodops megacephalus
Microdipodops pallidus
Thomomys bottae
Thomomys townsendii
Thomomys umbrinus
Thomomys bulbivorus
Thomomys talpoides
Thomomys monticola
Thomomys mazama
Geomys personatus
Geomys tropicalis
Geomys bursarius
Geomys arenarius
Geomys pinetis
Pappogeomys bulleri
Pappogeomys merriami
Pappogeomys castanops
Heteromys goldmani
Heteromys desmarestianus
Heteromys oresterus
Heteromys nelsoni
Liomys adspersus
Liomys salvini
Liomys pictus
Liomys spectabilis
Liomys irroratus
Heteromys australis
Heteromys anomalus
Heteromys gaumeri
Pappogeomys gymnurus
Pappogeomys tylorhinus
Pappogeomys neglectus
Pappogeomys zinseri
Pappogeomys fumosus
Pappogeomys alcorni
Orthogeomys heterodus
Orthogeomys hispidus
Orthogeomys grandis
Orthogeomys cherriei
Orthogeomys underwoodi
Orthogeomys dariensis
Orthogeomys cavator
Orthogeomys cuniculus
Orthogeomys lanius
Orthogeomys matagalpae
Orthogeomys thaeleri
Zygogeomys trichopus
Octodon bridgesi
Octodon lunatus
Octodon degus
Massoutiera mzabi
Pectinator spekei
Ctenodactylus gundi
Ctenodactylus vali
Felovia vae
Tympanoctomys barrerae
Octomys mimax
Ctenomys conoveri
Ctenomys frater
Ctenomys boliviensis
Ctenomys steinbachi
Ctenomys haigi
Ctenomys leucodon
Ctenomys opimus
Ctenomys mendocinus
Ctenomys pearsoni
Ctenomys torquatus
Ctenomys lewisi
Ctenomys sociabilis
Ctenomys tuconax
Ctenomys talarum
Ctenomys bonettoi
Ctenomys azarae
Ctenomys tucumanus
Ctenomys nattereri
Ctenomys argentinus
Ctenomys occultus
Ctenomys latro
Ctenomys magellanicus
Ctenomys perrensis
Ctenomys maulinus
Ctenomys australis
Ctenomys porteousi
Ctenomys fulvus
Ctenomys brasiliensis
Ctenomys colburni
Ctenomys dorsalis
Ctenomys emilianus
Ctenomys knighti
Ctenomys minutus
Ctenomys peruanus
Ctenomys pontifex
Ctenomys saltarius
Ctenomys sericeus
Ctenomys validus
Abrocoma bennettii
Hydrochaeris hydrochaeris
Dinomys branickii
Petromus typicus
Abrocoma cinerea
Abrocoma boliviensis
Kerodon rupestris
Cavia porcellus
Cavia tschudii
Cavia aperea
Cavia fulgida
Cavia magna
Microcavia australis
Microcavia niata
Microcavia shiptoni
Galea musteloides
Galea spixii
Galea flavidens
Myoprocta acouchy
Myoprocta exilis
Dasyprocta punctata
Dasyprocta leporina
Dasyprocta azarae
Dasyprocta coibae
Dasyprocta cristata
Dasyprocta fuliginosa
Dasyprocta guamara
Dasyprocta kalinowskii
Dasyprocta mexicana
Dasyprocta prymnolopha
Dasyprocta ruatanica
Myocastor coypus
Thrichomys apereoides
Proechimys dimidiatus
Proechimys setosus
Proechimys iheringi
Hoplomys gymnurus
Proechimys amphichoricus
Proechimys simonsi
Euryzygomatomys spinosus
Lonchothrix emiliae
Proechimys longicaudatus
Proechimys oris
Proechimys albispinus
Proechimys trinitatis
Carterodon sulcidens
Chaetomys subspinosus
Proechimys bolivianus
Proechimys brevicauda
Proechimys canicollis
Proechimys cayennensis
Proechimys chrysaeolus
Proechimys cuvieri
Proechimys decumanus
Proechimys goeldii
Proechimys gorgonae
Proechimys guairae
Proechimys gularis
Proechimys hendeei
Proechimys hoplomyoides
Proechimys magdalenae
Proechimys mincae
Proechimys myosuros
Proechimys oconnelli
Proechimys poliopus
Proechimys quadruplicatus
Proechimys semispinosus
Proechimys steerei
Proechimys urichi
Proechimys warreni
Clyomys laticeps
Clyomys bishopi
Makalata armata
Echimys chrysurus
Echimys blainvillei
Echimys braziliensis
Echimys dasythrix
Echimys grandis
Echimys lamarum
Echimys macrurus
Echimys nigrispinus
Echimys pictus
Echimys rhipidurus
Echimys saturnus
Echimys semivillosus
Echimys thomasi
Echimys unicolor
Isothrix bistriata
Isothrix pagurus
Diplomys caniceps
Diplomys labilis
Diplomys rufodorsalis
Kannabateomys amblyonyx
Dactylomys dactylinus
Dactylomys boliviensis
Dactylomys peruanus
Olallamys albicauda
Olallamys edax
Mesomys hispidus
Mesomys didelphoides
Mesomys leniceps
Mesomys obscurus
Mesomys stimulax
Capromys pilorides
Geocapromys brownii
Geocapromys ingrahami
Mysateles prehensilis
Mysateles garridoi
Mysateles gundlachi
Mysateles melanurus
Mysateles meridionalis
Mesocapromys auritus
Mesocapromys angelcabrerai
Mesocapromys nanus
Mesocapromys sanfelipensis
Plagiodontia aedium
Isolobodon portoricensis
Dolichotis patagonum
Dolichotis salinicola
Agouti paca
Agouti taczanowskii
Trichys fasciculata
Hystrix africaeaustralis
Hystrix cristata
Hystrix brachyura
Hystrix crassispinis
Hystrix indica
Hystrix javanica
Hystrix pumila
Hystrix sumatrae
Atherurus macrourus
Atherurus africanus
Thryonomys swinderianus
Thryonomys gregorianus
Heterocephalus glaber
Heliophobius argenteocinereus
Cryptomys damarensis
Cryptomys hottentotus
Cryptomys mechowi
Cryptomys bocagei
Cryptomys foxi
Cryptomys ochraceocinereus
Cryptomys zechi
Georychus capensis
Bathyergus suillus
Bathyergus janetta
Erethizon dorsatum
Echinoprocta rufescens
Sphiggurus insidiosus
Sphiggurus villosus
Sphiggurus mexicanus
Sphiggurus spinosus
Sphiggurus vestitus
Coendou bicolor
Coendou prehensilis
Coendou koopmani
Coendou rothschildi
Lagostomus maximus
Chinchilla lanigera
Chinchilla brevicaudata
Lagidium peruanum
Lagidium viscacia
Lagidium wolffsohni
Spalacopus cyanus
Octodontomys gliroides
Aconaemys sagei
Aconaemys fuscus
Aplodontia rufa
Marmota menzbieri
Marmota caudata
Marmota baibacina
Marmota bobak
Marmota camtschatica
Marmota himalayana
Marmota sibirica
Marmota broweri
Marmota marmota
Marmota monax
Marmota flaviventris
Marmota olympus
Marmota caligata
Marmota vancouverensis
Spermophilus undulatus
Spermophilus columbianus
Spermophilus parryii
Spermophilus richardsonii
Spermophilus armatus
Spermophilus atricapillus
Spermophilus tridecemlineatus
Spermophilus perotensis
Spermophilus franklinii
Spermophilus washingtoni
Spermophilus dauricus
Spermophilus spilosoma
Spermophilus beecheyi
Spermophilus madrensis
Spermophilus major
Spermophilus citellus
Spermophilus fulvus
Spermophilus xanthoprymnus
Spermophilus pygmaeus
Spermophilus relictus
Spermophilus erythrogenys
Spermophilus suslicus
Spermophilus musicus
Spermophilus beldingi
Spermophilus adocetus
Spermophilus mollis
Spermophilus alashanicus
Spermophilus brunneus
Spermophilus townsendii
Spermophilus tereticaudus
Spermophilus canus
Spermophilus mohavensis
Spermophilus annulatus
Spermophilus saturatus
Spermophilus mexicanus
Spermophilus elegans
Spermophilus lateralis
Spermophilus variegatus
Cynomys gunnisoni
Cynomys leucurus
Cynomys parvidens
Cynomys ludovicianus
Cynomys mexicanus
Ammospermophilus leucurus
Ammospermophilus nelsoni
Ammospermophilus interpres
Ammospermophilus harrisii
Ammospermophilus insularis
Tamias striatus
Tamias sibiricus
Tamias amoenus
Tamias quadrimaculatus
Tamias durangae
Tamias canipes
Tamias bulleri
Tamias rufus
Tamias quadrivittatus
Tamias dorsalis
Tamias cinereicollis
Tamias palmeri
Tamias umbrinus
Tamias townsendii
Tamias senex
Tamias sonomae
Tamias siskiyou
Tamias merriami
Tamias obscurus
Tamias ruficaudus
Tamias ochrogenys
Tamias speciosus
Tamias minimus
Tamias alpinus
Tamias panamintinus
Myosciurus pumilio
Heliosciurus ruwenzorii
Heliosciurus gambianus
Heliosciurus mutabilis
Heliosciurus punctatus
Heliosciurus rufobrachium
Heliosciurus undulatus
Epixerus wilsoni
Epixerus ebii
Protoxerus stangeri
Protoxerus aubinnii
Funisciurus pyrropus
Funisciurus anerythrus
Funisciurus bayonii
Funisciurus carruthersi
Funisciurus congicus
Funisciurus isabella
Funisciurus lemniscatus
Funisciurus leucogenys
Funisciurus substriatus
Paraxerus alexandri
Paraxerus boehmi
Paraxerus cepapi
Paraxerus cooperi
Paraxerus flavovittis
Paraxerus lucifer
Paraxerus ochraceus
Paraxerus palliatus
Paraxerus poensis
Paraxerus vexillarius
Paraxerus vincenti
Sciurotamias davidianus
Sciurotamias forresti
Spermophilopsis leptodactylus
Atlantoxerus getulus
Xerus rutilus
Xerus erythropus
Xerus inauris
Xerus princeps
Tamiasciurus hudsonicus
Tamiasciurus douglasii
Tamiasciurus mearnsi
Sciurus carolinensis
Sciurus niger
Sciurus granatensis
Sciurus flammifer
Sciurus variegatoides
Sciurus anomalus
Sciurus stramineus
Sciurus lis
Sciurus igniventris
Sciurus spadiceus
Sciurus arizonensis
Sciurus oculatus
Sciurus griseus
Sciurus alleni
Sciurus richmondi
Sciurus colliaei
Sciurus sanborni
Sciurus aureogaster
Sciurus pyrrhinus
Sciurus aestuans
Sciurus vulgaris
Sciurus ignitus
Sciurus yucatanensis
Sciurus gilvigularis
Sciurus pucheranii
Sciurus nayaritensis
Sciurus deppei
Rheithrosciurus macrotis
Microsciurus flaviventer
Microsciurus mimulus
Microsciurus santanderensis
Microsciurus alfari
Syntheosciurus brochus
Pteromys volans
Pteromys momonga
Petaurista petaurista
Petaurista philippensis
Petaurista alborufus
Petaurista nobilis
Petaurista magnificus
Petaurista elegans
Petaurista xanthotis
Petaurista leucogenys
Belomys pearsonii
Biswamoyopterus biswasi
Trogopterus xanthipes
Pteromyscus pulverulentus
Aeromys tephromelas
Aeromys thomasi
Eupetaurus cinereus
Aeretes melanopterus
Glaucomys volans
Glaucomys sabrinus
Hylopetes fimbriatus
Hylopetes lepidus
Hylopetes bartelsi
Hylopetes sipora
Petinomys setosus
Petinomys fuscocapillus
Petinomys crinitus
Petinomys genibarbis
Petinomys hageni
Petinomys lugens
Petinomys sagitta
Petinomys vordermanni
Hylopetes phayrei
Hylopetes alboniger
Hylopetes baberi
Hylopetes nigripes
Hylopetes spadiceus
Hylopetes winstoni
Petaurillus kinlochii
Petaurillus emiliae
Petaurillus hosei
Iomys horsfieldii
Iomys sipora
Ratufa bicolor
Ratufa affinis
Ratufa indica
Ratufa macroura
Callosciurus prevostii
Callosciurus caniceps
Callosciurus finlaysonii
Callosciurus orestes
Callosciurus adamsi
Callosciurus notatus
Callosciurus inornatus
Callosciurus baluensis
Callosciurus phayrei
Callosciurus melanogaster
Callosciurus quinquestriatus
Glyphotes simus
Lariscus insignis
Lariscus hosei
Lariscus niobe
Lariscus obscurus
Menetes berdmorei
Rhinosciurus laticaudatus
Funambulus palmarum
Funambulus sublineatus
Funambulus layardi
Funambulus pennantii
Funambulus tristriatus
Tamiops macclellandi
Tamiops maritimus
Tamiops rodolphei
Tamiops swinhoei
Dremomys rufigenis
Dremomys everetti
Dremomys lokriah
Dremomys pernyi
Dremomys pyrrhomerus
Exilisciurus concinnus
Exilisciurus exilis
Exilisciurus whiteheadi
Hyosciurus heinrichi
Hyosciurus ileile
Prosciurillus murinus
Prosciurillus leucomus
Prosciurillus abstrusus
Prosciurillus weberi
Rubrisciurus rubriventer
Nannosciurus melanotis
Sundasciurus brookei
Sundasciurus jentinki
Sundasciurus davensis
Sundasciurus fraterculus
Sundasciurus hippurus
Sundasciurus hoogstraali
Sundasciurus juvencus
Sundasciurus lowii
Sundasciurus mindanensis
Sundasciurus moellendorffi
Sundasciurus philippinensis
Sundasciurus rabori
Sundasciurus samarensis
Sundasciurus steerii
Sundasciurus tenuis
Callosciurus nigrovittatus
Callosciurus albescens
Callosciurus pygerythrus
Sciurillus pusillus
Dryomys laniger
Dryomys nitedula
Dryomys sichuanensis
Eliomys melanurus
Eliomys quercinus
Myomimus personatus
Myomimus roachi
Myomimus setzeri
Selevinia betpakdalaensis
Muscardinus avellanarius
Myoxus glis
Glirulus japonicus
Graphiurus christyi
Graphiurus kelleni
Graphiurus lorraineus
Graphiurus microtis
Graphiurus monardi
Graphiurus murinus
Graphiurus ocularis
Graphiurus olga
Graphiurus parvus
Graphiurus platyops
Graphiurus rupicola
Graphiurus surdus
Graphiurus crassicaudatus
Graphiurus hueti
Brachylagus idahoensis
Nesolagus netscheri
Sylvilagus aquaticus
Sylvilagus brasiliensis
Sylvilagus dicei
Sylvilagus insonus
Sylvilagus palustris
Sylvilagus cunicularius
Sylvilagus graysoni
Sylvilagus floridanus
Sylvilagus transitionalis
Sylvilagus audubonii
Sylvilagus nuttallii
Sylvilagus bachmani
Sylvilagus mansuetus
Caprolagus hispidus
Poelagus marjorita
Lepus alleni
Lepus callotis
Lepus flavigularis
Lepus californicus
Lepus insularis
Lepus americanus
Lepus arcticus
Lepus othus
Lepus timidus
Lepus townsendii
Lepus brachyurus
Lepus mandshuricus
Lepus coreanus
Lepus sinensis
Lepus castroviejoi
Lepus corsicanus
Lepus europaeus
Lepus granatensis
Lepus comus
Lepus oiostolus
Lepus capensis
Lepus tolai
Lepus starcki
Lepus yarkandensis
Lepus fagani
Lepus saxatilis
Lepus victoriae
Lepus hainanus
Lepus nigricollis
Lepus peguensis
Oryctolagus cuniculus
Bunolagus monticularis
Romerolagus diazi
Pentalagus furnessi
Pronolagus crassicaudatus
Pronolagus rupestris
Pronolagus randensis
Ochotona alpina
Ochotona hyperborea
Ochotona collaris
Ochotona princeps
Ochotona pallasi
Ochotona erythrotis
Ochotona gloveri
Ochotona muliensis
Ochotona ladacensis
Ochotona rutila
Ochotona koslowi
Ochotona rufescens
Ochotona himalayana
Ochotona iliensis
Ochotona macrotis
Ochotona roylei
Ochotona cansus
Ochotona forresti
Ochotona gaoligongensis
Ochotona thomasi
Ochotona thibetana
Ochotona nubrica
Ochotona curzoniae
Ochotona dauurica
Ochotona pusilla
Allenopithecus nigroviridis
Cercopithecus ascanius
Cercopithecus cephus
Cercopithecus erythrogaster
Cercopithecus erythrotis
Cercopithecus petaurista
Cercopithecus sclateri
Cercopithecus mitis
Cercopithecus nictitans
Cercopithecus campbelli
Cercopithecus mona
Cercopithecus pogonias
Cercopithecus wolfi
Cercopithecus diana
Cercopithecus dryas
Cercopithecus neglectus
Cercopithecus hamlyni
Cercopithecus lhoesti
Cercopithecus preussi
Cercopithecus solatus
Chlorocebus aethiops
Erythrocebus patas
Miopithecus talapoin
Cercocebus agilis
Cercocebus galeritus
Cercocebus torquatus
Mandrillus leucophaeus
Mandrillus sphinx
Lophocebus albigena
Papio hamadryas
Theropithecus gelada
Macaca arctoides
Macaca assamensis
Macaca thibetana
Macaca radiata
Macaca sinica
Macaca cyclopis
Macaca mulatta
Macaca fuscata
Macaca fascicularis
Macaca maura
Macaca nigra
Macaca ochreata
Macaca tonkeana
Macaca nemestrina
Macaca silenus
Macaca sylvanus
Colobus angolensis
Colobus guereza
Colobus polykomos
Colobus satanas
Procolobus badius
Procolobus preussi
Procolobus pennantii
Procolobus rufomitratus
Procolobus verus
Nasalis concolor
Nasalis larvatus
Presbytis comata
Presbytis hosei
Presbytis thomasi
Presbytis femoralis
Presbytis melalophos
Presbytis frontata
Presbytis potenziani
Presbytis rubicunda
Semnopithecus entellus
Trachypithecus auratus
Trachypithecus cristatus
Trachypithecus francoisi
Trachypithecus geei
Trachypithecus pileatus
Trachypithecus obscurus
Trachypithecus phayrei
Trachypithecus johnii
Trachypithecus vetulus
Pygathrix avunculus
Pygathrix bieti
Pygathrix brelichi
Pygathrix roxellana
Pygathrix nemaeus
Gorilla gorilla
Homo sapiens
Pan paniscus
Pan troglodytes
Pongo pygmaeus
Hylobates agilis
Hylobates lar
Hylobates moloch
Hylobates muelleri
Hylobates pileatus
Hylobates klossii
Hylobates hoolock
Hylobates syndactylus
Hylobates concolor
Hylobates leucogenys
Hylobates gabriellae
Alouatta belzebul
Alouatta caraya
Alouatta coibensis
Alouatta palliata
Alouatta fusca
Alouatta pigra
Alouatta sara
Alouatta seniculus
Ateles belzebuth
Ateles chamek
Ateles marginatus
Ateles fusciceps
Ateles geoffroyi
Ateles paniscus
Brachyteles arachnoides
Lagothrix flavicauda
Lagothrix lagotricha
Cacajao calvus
Cacajao melanocephalus
Chiropotes albinasus
Chiropotes satanas
Pithecia aequatorialis
Pithecia albicans
Pithecia irrorata
Pithecia monachus
Pithecia pithecia
Callicebus brunneus
Callicebus hoffmannsi
Callicebus cinerascens
Callicebus moloch
Callicebus caligatus
Callicebus cupreus
Callicebus dubius
Callicebus donacophilus
Callicebus modestus
Callicebus oenanthe
Callicebus olallae
Callicebus torquatus
Aotus azarai
Aotus brumbacki
Aotus hershkovitzi
Aotus infulatus
Aotus lemurinus
Aotus miconax
Aotus nancymaae
Aotus nigriceps
Aotus trivirgatus
Aotus vociferans
Callicebus personatus
Callimico goeldii
Callithrix argentata
Callithrix humeralifera
Callithrix pygmaea
Callithrix aurita
Callithrix flaviceps
Callithrix geoffroyi
Callithrix kuhlii
Callithrix jacchus
Callithrix penicillata
Leontopithecus caissara
Leontopithecus chrysopygus
Leontopithecus rosalia
Leontopithecus chrysomelas
Saguinus bicolor
Saguinus midas
Saguinus geoffroyi
Saguinus oedipus
Saguinus leucopus
Saguinus imperator
Saguinus labiatus
Saguinus mystax
Saguinus fuscicollis
Saguinus tripartitus
Saguinus nigricollis
Saguinus inustus
Cebus albifrons
Cebus capucinus
Cebus olivaceus
Cebus apella
Saimiri boliviensis
Saimiri vanzolinii
Saimiri oerstedii
Saimiri sciureus
Saimiri ustus
Tarsius bancanus
Tarsius dianae
Tarsius pumilus
Tarsius spectrum
Tarsius syrichta
Allocebus trichotis
Microcebus coquereli
Microcebus murinus
Microcebus rufus
Cheirogaleus major
Cheirogaleus medius
Phaner furcifer
Avahi laniger
Propithecus diadema
Propithecus tattersalli
Propithecus verreauxi
Indri indri
Daubentonia madagascariensis
Eulemur coronatus
Eulemur fulvus
Eulemur macaco
Eulemur mongoz
Eulemur rubriventer
Hapalemur aureus
Hapalemur griseus
Hapalemur simus
Lemur catta
Varecia variegata
Lepilemur dorsalis
Lepilemur edwardsi
Lepilemur leucopus
Lepilemur microdon
Lepilemur mustelinus
Lepilemur ruficaudatus
Lepilemur septentrionalis
Arctocebus aureus
Arctocebus calabarensis
Perodicticus potto
Loris tardigradus
Nycticebus coucang
Nycticebus pygmaeus
Euoticus elegantulus
Euoticus pallidus
Galago gallarum
Galago matschiei
Galago moholi
Galago senegalensis
Otolemur crassicaudatus
Otolemur garnettii
Galago alleni
Galagoides demidoff
Galagoides zanzibaricus
Cynocephalus variegatus
Cynocephalus volans
Ptilocercus lowii
Anathana ellioti
Urogale everetti
Dendrogale melanura
Dendrogale murina
Tupaia belangeri
Tupaia chrysogaster
Tupaia dorsalis
Tupaia glis
Tupaia gracilis
Tupaia javanica
Tupaia longipes
Tupaia minor
Tupaia montana
Tupaia nicobarica
Tupaia palawanensis
Tupaia picta
Tupaia splendidula
Tupaia tana
Addax nasomaculatus
Oryx dammah
Oryx gazella
Oryx leucoryx
Hippotragus equinus
Hippotragus niger
Alcelaphus buselaphus
Sigmoceros lichtensteinii
Connochaetes gnou
Connochaetes taurinus
Damaliscus hunteri
Damaliscus lunatus
Damaliscus pygargus
Ammotragus lervia
Budorcas taxicolor
Ovis ammon
Ovis aries
Ovis vignei
Ovis canadensis
Ovis dalli
Ovis nivicola
Capra caucasica
Capra cylindricornis
Capra falconeri
Capra hircus
Capra ibex
Capra nubiana
Capra pyrenaica
Capra sibirica
Capra walie
Hemitragus hylocrius
Hemitragus jayakari
Hemitragus jemlahicus
Pseudois nayaur
Pseudois schaeferi
Rupicapra pyrenaica
Rupicapra rupicapra
Naemorhedus baileyi
Naemorhedus caudatus
Naemorhedus crispus
Naemorhedus goral
Naemorhedus sumatraensis
Naemorhedus swinhoei
Ovibos moschatus
Oreamnos americanus
Pantholops hodgsonii
Aepyceros melampus
Ammodorcas clarkei
Antidorcas marsupialis
Antilope cervicapra
Gazella bennettii
Gazella saudiya
Gazella cuvieri
Gazella leptoceros
Gazella subgutturosa
Gazella dorcas
Gazella gazella
Gazella spekei
Gazella dama
Gazella soemmerringii
Gazella granti
Gazella rufifrons
Gazella thomsonii
Litocranius walleri
Saiga tatarica
Cephalophus adersi
Cephalophus callipygus
Cephalophus ogilbyi
Cephalophus weynsi
Cephalophus dorsalis
Cephalophus silvicultor
Cephalophus spadix
Cephalophus jentinki
Cephalophus harveyi
Cephalophus natalensis
Cephalophus nigrifrons
Cephalophus rufilatus
Cephalophus leucogaster
Cephalophus niger
Cephalophus rubidus
Cephalophus zebra
Sylvicapra grimmia
Cephalophus maxwellii
Cephalophus monticola
Dorcatragus megalotis
Raphicerus campestris
Raphicerus sharpei
Raphicerus melanotis
Kobus ellipsiprymnus
Kobus leche
Kobus megaceros
Kobus kob
Kobus vardonii
Redunca arundinum
Redunca redunca
Redunca fulvorufula
Pelea capreolus
Madoqua guentheri
Madoqua kirkii
Madoqua piacentinii
Madoqua saltiana
Neotragus batesi
Neotragus moschatus
Neotragus pygmaeus
Oreotragus oreotragus
Ourebia ourebi
Procapra gutturosa
Procapra picticaudata
Procapra przewalskii
Bison bison
Bison bonasus
Bos grunniens
Bos sauveli
Bos taurus
Bos frontalis
Bos javanicus
Bubalus bubalis
Bubalus depressicornis
Bubalus mindorensis
Bubalus quarlesi
Syncerus caffer
Boselaphus tragocamelus
Tetracerus quadricornis
Taurotragus derbianus
Taurotragus oryx
Tragelaphus strepsiceros
Tragelaphus angasii
Tragelaphus buxtoni
Tragelaphus eurycerus
Tragelaphus spekii
Tragelaphus scriptus
Tragelaphus imberbis
Alces alces
Capreolus capreolus
Capreolus pygargus
Hydropotes inermis
Blastocerus dichotomus
Hippocamelus antisensis
Hippocamelus bisulcus
Ozotoceros bezoarticus
Mazama americana
Mazama bricenii
Mazama chunyi
Mazama gouazoupira
Mazama nana
Mazama rufina
Odocoileus hemionus
Odocoileus virginianus
Pudu mephistophiles
Pudu puda
Rangifer tarandus
Axis axis
Axis calamianensis
Axis kuhlii
Axis porcinus
Cervus albirostris
Cervus alfredi
Cervus duvaucelii
Cervus elaphus
Cervus eldii
Cervus mariannus
Cervus nippon
Cervus timorensis
Cervus unicolor
Elaphurus davidianus
Dama dama
Dama mesopotamica
Elaphodus cephalophus
Muntiacus atherodes
Muntiacus crinifrons
Muntiacus feae
Muntiacus gongshanensis
Muntiacus muntjak
Muntiacus reevesi
Moschus berezovskii
Moschus chrysogaster
Moschus fuscus
Moschus moschiferus
Antilocapra americana
Giraffa camelopardalis
Okapia johnstoni
Hyemoschus aquaticus
Moschiola meminna
Tragulus javanicus
Tragulus napu
Australophocaena dioptrica
Neophocaena phocaenoides
Phocoena phocoena
Phocoena sinus
Phocoena spinipinnis
Phocoenoides dalli
Cephalorhynchus commersonii
Cephalorhynchus eutropia
Cephalorhynchus hectori
Cephalorhynchus heavisidii
Lagenorhynchus australis
Lagenorhynchus cruciger
Lagenorhynchus obliquidens
Lagenorhynchus obscurus
Lissodelphis borealis
Lissodelphis peronii
Delphinus delphis
Stenella attenuata
Stenella clymene
Stenella coeruleoalba
Stenella frontalis
Tursiops truncatus
Feresa attenuata
Pseudorca crassidens
Globicephala macrorhynchus
Globicephala melas
Peponocephala electra
Grampus griseus
Lagenodelphis hosei
Lagenorhynchus acutus
Lagenorhynchus albirostris
Orcaella brevirostris
Orcinus orca
Sotalia fluviatilis
Sousa chinensis
Sousa teuszii
Stenella longirostris
Steno bredanensis
Delphinapterus leucas
Monodon monoceros
Inia geoffrensis
Pontoporia blainvillei
Lipotes vexillifer
Berardius arnuxii
Berardius bairdii
Hyperoodon ampullatus
Hyperoodon planifrons
Indopacetus pacificus
Mesoplodon bidens
Mesoplodon bowdoini
Mesoplodon carlhubbsi
Mesoplodon densirostris
Mesoplodon europaeus
Mesoplodon ginkgodens
Mesoplodon grayi
Mesoplodon hectori
Mesoplodon layardii
Mesoplodon mirus
Mesoplodon peruvianus
Mesoplodon stejnegeri
Tasmacetus shepherdi
Ziphius cavirostris
Platanista gangetica
Platanista minor
Kogia breviceps
Kogia simus
Physeter catodon
Balaena mysticetus
Eubalaena australis
Eubalaena glacialis
Caperea marginata
Balaenoptera acutorostrata
Balaenoptera borealis
Balaenoptera edeni
Balaenoptera musculus
Balaenoptera physalus
Megaptera novaeangliae
Eschrichtius robustus
Hexaprotodon liberiensis
Hippopotamus amphibius
Babyrousa babyrussa
Hylochoerus meinertzhageni
Potamochoerus larvatus
Potamochoerus porcus
Sus barbatus
Sus bucculentus
Sus cebifrons
Sus celebensis
Sus heureni
Sus philippensis
Sus salvanius
Sus scrofa
Sus timoriensis
Sus verrucosus
Phacochoerus aethiopicus
Phacochoerus africanus
Catagonus wagneri
Tayassu pecari
Pecari tajacu
Camelus bactrianus
Camelus dromedarius
Lama glama
Lama guanicoe
Lama pacos
Vicugna vicugna
Ceratotherium simum
Diceros bicornis
Dicerorhinus sumatrensis
Rhinoceros sondaicus
Rhinoceros unicornis
Tapirus bairdii
Tapirus pinchaque
Tapirus terrestris
Tapirus indicus
Equus asinus
Equus burchellii
Equus grevyi
Equus zebra
Equus hemionus
Equus kiang
Equus onager
Equus caballus
Mustela lutreola
Mustela lutreolina
Mustela nudipes
Mustela sibirica
Mustela strigidorsa
Mustela eversmannii
Mustela nigripes
Mustela putorius
Mustela altaica
Mustela erminea
Mustela frenata
Mustela nivalis
Mustela africana
Mustela felipei
Mustela kathiah
Mustela vison
Martes americana
Martes melampus
Martes zibellina
Martes martes
Martes foina
Martes flavigula
Martes gwatkinsii
Martes pennanti
Gulo gulo
Eira barbara
Galictis cuja
Galictis vittata
Lyncodon patagonicus
Ictonyx libyca
Ictonyx striatus
Vormela peregusna
Poecilogale albinucha
Mellivora capensis
Arctonyx collaris
Meles meles
Mydaus javanensis
Mydaus marchei
Melogale everetti
Melogale moschata
Melogale orientalis
Melogale personata
Lontra felina
Lontra provocax
Lontra longicaudis
Lontra canadensis
Lutra lutra
Lutra sumatrana
Aonyx capensis
Aonyx congicus
Amblonyx cinereus
Lutra maculicollis
Lutrogale perspicillata
Pteronura brasiliensis
Enhydra lutris
Conepatus chinga
Conepatus leuconotus
Conepatus mesoleucus
Conepatus humboldtii
Conepatus semistriatus
Mephitis macroura
Mephitis mephitis
Spilogale putorius
Spilogale pygmaea
Taxidea taxus
Procyon cancrivorus
Procyon insularis
Procyon lotor
Procyon maynardi
Procyon minor
Procyon pygmaeus
Nasua narica
Nasua nasua
Nasuella olivacea
